source_id,location_name,url,category_name,sequence_number,product_name,product_name_cleaned,price,pc_count,size,description,product_image
02746,5 Points In-Line,https://order.chick-fil-a.com/menu/mobile-meals/cfa-sandwich-meal,Meals,1,Chick-fil-A® Sandwich Meal,Chick Fil A Sandwich Meal,7.99,1,,"A boneless breast of chicken seasoned to perfection, freshly breaded, pressure cooked in 100% refined peanut oil and served on a toasted, buttered bun with dill pickle chips. Also available on a multigrain bun.",https://www.cfacdn.com/img/order/menu/Online/Entrees/Jul19_CFASandwich_desktop800.png
02746,5 Points In-Line,https://order.chick-fil-a.com/menu/mobile-meals/deluxe-meal,Meals,2,Chick-fil-A® Deluxe w/ American Meal,Chick Fil A Deluxe W American Meal,8.69,1,,"A boneless breast of chicken seasoned to perfection, freshly breaded, pressure cooked in 100% refined peanut oil and served on a toasted, buttered bun with dill pickle chips, Green Leaf lettuce, tomato and American cheese. Also available on a multigrain bun.",https://www.cfacdn.com/img/order/COM/Menu_Refresh/Entree/Entree%20Desktop/_0003s_0003_NEWStack6200001CFAPDPDeluxeSandwich1085png.png
02746,5 Points In-Line,https://order.chick-fil-a.com/menu/mobile-meals/deluxe-meal,Meals,3,Chick-fil-A® Deluxe w/ Colby Jack Meal,Chick Fil A Deluxe W Colby Jack Meal,8.69,1,,"A boneless breast of chicken seasoned to perfection, freshly breaded, pressure cooked in 100% refined peanut oil and served on a toasted, buttered bun with dill pickle chips, Green Leaf lettuce, tomato and Colby Jack cheese. Also available on a multigrain bun.",https://www.cfacdn.com/img/order/COM/Menu_Refresh/Entree/Entree%20Desktop/_0003s_0003_NEWStack6200001CFAPDPDeluxeSandwich1085png.png
02746,5 Points In-Line,https://order.chick-fil-a.com/menu/mobile-meals/deluxe-meal,Meals,4,Chick-fil-A® Deluxe w/ Pepper Jack Meal,Chick Fil A Deluxe W Pepper Jack Meal,8.69,1,,"A boneless breast of chicken seasoned to perfection, freshly breaded, pressure cooked in 100% refined peanut oil and served on a toasted, buttered bun with dill pickle chips, green leaf lettuce, tomato and Pepper Jack cheese. Also available on a multigrain bun.",https://www.cfacdn.com/img/order/COM/Menu_Refresh/Entree/Entree%20Desktop/_0003s_0003_NEWStack6200001CFAPDPDeluxeSandwich1085png.png
02746,5 Points In-Line,https://order.chick-fil-a.com/menu/mobile-meals/deluxe-meal,Meals,5,Chick-fil-A® Deluxe w/ No Cheese Meal,Chick Fil A Deluxe W No Cheese Meal,8.39,1,,"A boneless breast of chicken seasoned to perfection, freshly breaded, pressure cooked in 100% refined peanut oil and served on a toasted, buttered bun with dill pickle chips, Green Leaf lettuce, and tomato. Also available on a multigrain bun.",https://www.cfacdn.com/img/order/COM/Menu_Refresh/Entree/Entree%20Desktop/_0003s_0003_NEWStack6200001CFAPDPDeluxeSandwich1085png.png
02746,5 Points In-Line,https://order.chick-fil-a.com/menu/mobile-meals/spicy-meal,Meals,6,Chick-fil-A® Spicy Chicken Sandwich Meal,Chick Fil A Spicy Chicken Sandwich Meal,8.39,1,,"A boneless breast of chicken seasoned with a spicy blend of peppers, freshly breaded, pressure cooked in 100% refined peanut oil and served on a toasted, buttered bun with dill pickle chips. Also available on a multigrain bun. ",https://www.cfacdn.com/img/order/COM/PDP_UPDATE/Images/Entrees/Final__0052_CFA_PDP_Spicy-Chick-Fil-A-Sandwich_1085.png
02746,5 Points In-Line,https://order.chick-fil-a.com/menu/mobile-meals/spicy-deluxe-meal,Meals,7,Spicy Deluxe w/ Pepper Jack Meal,Spicy Deluxe W Pepper Jack Meal,9.09,1,,"A boneless breast of chicken seasoned with a spicy blend of peppers, freshly breaded, pressure cooked in 100% refined peanut oil and served on a toasted, buttered bun with dill pickle chips, Green Leaf lettuce, tomato and Pepper Jack Cheese. Also available on a multigrain bun.",https://www.cfacdn.com/img/order/COM/PDP_UPDATE/Images/Entrees/Final__0053_CFA_PDP_Spicy-Deluxe-Sandwich_1085.png
02746,5 Points In-Line,https://order.chick-fil-a.com/menu/mobile-meals/spicy-deluxe-meal,Meals,8,Spicy Deluxe w/ Colby Jack Meal,Spicy Deluxe W Colby Jack Meal,9.09,1,,"A boneless breast of chicken seasoned with a spicy blend of peppers, freshly breaded, pressure cooked in 100% refined peanut oil and served on a toasted, buttered bun with dill pickle chips, Green Leaf lettuce, tomato and Colby Jack Cheese. Also available on a multigrain bun.",https://www.cfacdn.com/img/order/COM/PDP_UPDATE/Images/Entrees/Final__0053_CFA_PDP_Spicy-Deluxe-Sandwich_1085.png
02746,5 Points In-Line,https://order.chick-fil-a.com/menu/mobile-meals/spicy-deluxe-meal,Meals,9,Spicy Deluxe w/ American Meal,Spicy Deluxe W American Meal,9.09,1,,"A boneless breast of chicken seasoned with a spicy blend of peppers, freshly breaded, pressure cooked in 100% refined peanut oil and served on a toasted, buttered bun with dill pickle chips, green leaf lettuce, tomato and American cheese. Also available on a multigrain bun.",https://www.cfacdn.com/img/order/COM/PDP_UPDATE/Images/Entrees/Final__0053_CFA_PDP_Spicy-Deluxe-Sandwich_1085.png
02746,5 Points In-Line,https://order.chick-fil-a.com/menu/mobile-meals/spicy-deluxe-meal,Meals,10,Spicy Deluxe No Cheese Meal,Spicy Deluxe No Cheese Meal,8.79,1,,"A boneless breast of chicken seasoned with a spicy blend of peppers, freshly breaded, pressure cooked in 100% refined peanut oil and served on a toasted, buttered bun with dill pickle chips, Green Leaf lettuce, and tomato. Also available on a multigrain bun. ",https://www.cfacdn.com/img/order/COM/PDP_UPDATE/Images/Entrees/Final__0053_CFA_PDP_Spicy-Deluxe-Sandwich_1085.png
